init_portfolio_value,final_portfolio_value,model_name
10000,18038.386582031264,model/fx-model_20230922190652.pkl
10000,18816.297050781177,model/fx-model_20230922190653.pkl
10000,19848.092460937467,model/fx-model_20230922190655.pkl
10000,46978.27595703112,model/fx-model_20230922190706.pkl
10000,44845.769863281,model/fx-model_20230922190717.pkl
10000,19990.337597656224,model/fx-model_20230922190719.pkl
10000,19544.648632812496,model/fx-model_20230922190720.pkl
10000,18110.57855468738,model/fx-model_20230922190722.pkl
10000,36947.79841796881,model/fx-model_20230922190731.pkl
10000,19075.07568359373,model/fx-model_20230922190733.pkl
10000,19943.80216796872,model/fx-model_20230922190818.pkl
10000,42514.716347656075,model/fx-model_20230922190829.pkl
10000,44992.72470703134,model/fx-model_20230922190840.pkl
10000,43098.656933593775,model/fx-model_20230922190851.pkl
10000,19929.243339843797,model/fx-model_20230922190853.pkl
10000,18054.581367187384,model/fx-model_20230922190854.pkl
10000,19457.587988281226,model/fx-model_20230922190856.pkl
10000,19097.118652343772,model/fx-model_20230922190857.pkl
10000,41128.42957031244,model/fx-model_20230922190908.pkl
10000,43459.144746093814,model/fx-model_20230922190919.pkl
10000,20464.983164062487,model/fx-model_20230922191004.pkl
10000,19071.183945312554,model/fx-model_20230922191006.pkl
10000,19954.844003906248,model/fx-model_20230922191008.pkl
10000,42901.81011718739,model/fx-model_20230922191018.pkl
10000,20051.11964843752,model/fx-model_20230922191020.pkl
10000,43112.83734375009,model/fx-model_20230922191031.pkl
10000,37414.88339843741,model/fx-model_20230922191041.pkl
10000,19308.134765624975,model/fx-model_20230922191043.pkl
10000,47702.218066406116,model/fx-model_20230922191054.pkl
10000,19973.263535156297,model/fx-model_20230922191055.pkl
10000,42753.05232421884,model/fx-model_20230922191149.pkl
10000,20507.01999999995,model/fx-model_20230922191151.pkl
10000,46793.290722656064,model/fx-model_20230922191202.pkl
10000,19832.53482421873,model/fx-model_20230922191204.pkl
10000,41461.13722656238,model/fx-model_20230922191216.pkl
10000,19849.372753906235,model/fx-model_20230922191217.pkl
10000,19829.72472656247,model/fx-model_20230922191219.pkl
10000,18726.03085937493,model/fx-model_20230922191220.pkl
10000,17832.566953124893,model/fx-model_20230922191222.pkl
10000,19599.830136718636,model/fx-model_20230922191223.pkl
10000,19938.111328125065,model/fx-model_20230922191310.pkl
10000,36461.45201171866,model/fx-model_20230922191319.pkl
10000,16851.74474609372,model/fx-model_20230922191321.pkl
10000,41890.6527929686,model/fx-model_20230922191332.pkl
10000,19677.780488281278,model/fx-model_20230922191334.pkl
10000,40615.84615234361,model/fx-model_20230922191346.pkl
10000,47400.09810546854,model/fx-model_20230922191357.pkl
10000,43449.291874999944,model/fx-model_20230922191409.pkl
10000,42383.27654296879,model/fx-model_20230922191421.pkl
10000,20023.100585937522,model/fx-model_20230922191422.pkl
10000,47277.828359374966,model/fx-model_20230922191520.pkl
10000,18866.971523437478,model/fx-model_20230922191522.pkl
10000,40405.9510742187,model/fx-model_20230922191533.pkl
10000,19424.097167968754,model/fx-model_20230922191535.pkl
10000,20606.083984374993,model/fx-model_20230922191537.pkl
10000,17478.271542968734,model/fx-model_20230922191538.pkl
10000,20193.156699218747,model/fx-model_20230922191540.pkl
10000,38748.506796875,model/fx-model_20230922191552.pkl
10000,49018.2243554686,model/fx-model_20230922191604.pkl
10000,19168.118652343674,model/fx-model_20230922191606.pkl
10000,20164.333554687513,model/fx-model_20230922191653.pkl
10000,43762.341992187525,model/fx-model_20230922191704.pkl
10000,20397.64761718752,model/fx-model_20230922191706.pkl
10000,42681.12935546859,model/fx-model_20230922191718.pkl
10000,18553.640468749963,model/fx-model_20230922191720.pkl
10000,43387.23400390624,model/fx-model_20230922191731.pkl
10000,19507.210742187468,model/fx-model_20230922191733.pkl
10000,44523.0668164062,model/fx-model_20230922191746.pkl
10000,19563.0568359375,model/fx-model_20230922191748.pkl
10000,18827.815117187507,model/fx-model_20230922191750.pkl
10000,19157.096191406246,model/fx-model_20230922191832.pkl
10000,41096.22658203136,model/fx-model_20230922191844.pkl
10000,19075.322773437543,model/fx-model_20230922191846.pkl
10000,20115.140624999964,model/fx-model_20230922191847.pkl
10000,18837.78505859364,model/fx-model_20230922191848.pkl
10000,21510.0554296875,model/fx-model_20230922191850.pkl
10000,19380.504414062412,model/fx-model_20230922191852.pkl
10000,20162.591816406268,model/fx-model_20230922191854.pkl
10000,45429.746347656226,model/fx-model_20230922191904.pkl
10000,20247.693496093732,model/fx-model_20230922191906.pkl
10000,43283.337382812344,model/fx-model_20230922191955.pkl
10000,18588.510527343755,model/fx-model_20230922191957.pkl
10000,17633.068437499925,model/fx-model_20230922191958.pkl
10000,42943.64796874992,model/fx-model_20230922192010.pkl
10000,19190.006367187525,model/fx-model_20230922192012.pkl
10000,17813.148730468653,model/fx-model_20230922192013.pkl
10000,18955.222929687414,model/fx-model_20230922192014.pkl
10000,16884.074218749927,model/fx-model_20230922192016.pkl
10000,19726.10009765621,model/fx-model_20230922192017.pkl
10000,20415.10474609362,model/fx-model_20230922192019.pkl
10000,35722.04386718733,model/fx-model_20230922192114.pkl
10000,36680.38656249984,model/fx-model_20230922192122.pkl
10000,47242.72867187507,model/fx-model_20230922192134.pkl
10000,17845.013183593663,model/fx-model_20230922192135.pkl
10000,36343.90242187507,model/fx-model_20230922192145.pkl
10000,19969.029374999987,model/fx-model_20230922192147.pkl
10000,41223.449570312405,model/fx-model_20230922192159.pkl
10000,46262.330664062334,model/fx-model_20230922192211.pkl
10000,44985.657324218664,model/fx-model_20230922192222.pkl
10000,42446.74388671873,model/fx-model_20230922192236.pkl
10000,39355.6250976564,model/fx-model_20230922192348.pkl
10000,38794.18890624995,model/fx-model_20230922192400.pkl
10000,43533.10341796847,model/fx-model_20230922192413.pkl
10000,20390.796621093807,model/fx-model_20230922192415.pkl
10000,42902.971367187456,model/fx-model_20230922192427.pkl
10000,19373.603789062516,model/fx-model_20230922192429.pkl
10000,20447.920996093748,model/fx-model_20230922192431.pkl
10000,19838.474355468727,model/fx-model_20230922192433.pkl
10000,18287.218808593734,model/fx-model_20230922192435.pkl
10000,43220.73650390615,model/fx-model_20230922192448.pkl
